perc_ap,Cv
0,0
0.111111111111111,34.7
0.222222222222222,109
0.333333333333333,198
0.444444444444444,321
0.555555555555556,452
0.666666666666667,664
0.777777777777778,882
0.888888888888889,1180
1,1250
